GG20,Rank20,GG22,Rank22
Hey.xyz (formerly Lenster),1,Revoke.cash,1
Revoke.cash,2,Superchain Eco dApps,2
JediSwap,3,Hey.xyz (formerly Lenster),3
IDriss - A more usable web3 for everyone,4,The Tor Project,4
Event Horizon,5,Giveth,5
rotki,6,rotki,6
Smold.app,7,Funding the Commons,7
Giveth,8,Hypercerts Foundation,8
Tape (formerly Lenstube),9,NFT.Storage,9
RubyScore,10,Glo Dollar,10
ShapeShift DAO,11,Kolektivo Network,11
Masca,12,Quadratic Accelerator (q/acc),12
GovScore,13,RubyScore,13
POAPin,14,Karma GAP,14
Tally Zero,15,POAPin,15
Yoki Finance,16,EAS Attestation Explorer,16
Unitap,17,Unitap,17
Carmine Finance,18,Citizen Wallet,18
Hypercerts Foundation,19,Event Horizon,19
Bankless Academy,20,$EARTH - Oss,20
Karma GAP,21,"Pairwise: Simplifying Choices, Amplifying Voices",21
Glo Dollar,22,Open Collective,22
Tonspay,23,Yoki Finance,23
Streaming Quadratic Funding,24,Harmonica: AI-powered facilitation of group sensemaking,24
Citizen Wallet,25,Treegens🌳,25
Kleo Network,26,zkCodex,26
ZKP2P Fiat On Ramp,27,Hedgey,27
growthepie.xyz 🥧📏 - Usage Data and Analytics for Ethereum Scaling Solutions,28,CharmVerse,28
MetaMail,29,DobProtocol,29
LexDAO,30,Kiwi News,30
Funding the Commons,31,Vocdoni - Secure digital voting,31
Mirror,32,ZKP2P Fiat On Ramp,32
ENS Wayback Machine,33,Impersonator,33
Vocdoni - Secure digital voting,34,Abundance Protocol,34
MetaGame,35,Bankless Academy,35
Rankify,36,1Hive Gardens,36
GiveStation,37,Breadchain Cooperative,37
Treegens🌳,38,LunCo: Metaverse for Space Engineers,38
Superchain Eco dApps,39,Nextme,39
ScoreFront,40,GitcoinDonorData,40
Dig DAO,41,ChainCraft,41
Metagov,42,VoiceDeck: A Marketplace for Impact Certificates,42
DefiLab.xyz,43,Radio SpaghettETH,43
"Pairwise: Simplifying Choices, Amplifying Voices",44,ShapeShift DAO,44
BerryLab,45,The DeSci Journals v3,45
JobStash,46,CoindPay,46
Smoothly,47,Raid Guild Season VII Cohort,47
Kiwi News,48,WannaBet,48
